Country,Region,Happiness Score 21,Social Support,Healthy Life Expectancy,Freedom To Make Life Choices,Happiness Score 22,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Happiness Rating Avg 21-22
Slovenia,Central and Eastern Europe,6.461,0.948,71.4,0.949,6.63,1.249,0.769,0.685,6.5455000000000005
South Africa,Sub-Saharan Africa,4.956,0.86,56.904,0.749,5.194,1.088,0.361,0.442,5.075
South Korea,East Asia,5.845,0.799,73.9,0.672,5.935,0.886,0.841,0.414,5.89
Spain,Western Europe,6.491,0.932,74.7,0.761,6.476,1.211,0.808,0.505,6.483499999999999
Sri Lanka,South Asia,4.325,0.827,67.299,0.841,4.362,0.934,0.660,0.529,4.343500000000001
Sweden,Western Europe,7.363,0.934,72.7,0.945,7.384,1.204,0.803,0.724,7.3735
Switzerland,Western Europe,7.571,0.942,74.4,0.919,7.512,1.226,0.822,0.677,7.541499999999999
Taiwan Province of China,East Asia,6.584,0.898,69.6,0.784,6.512,1.095,0.733,0.542,6.548
Tajikistan,Commonwealth of Independent States,5.466,0.86,64.281,0.832,5.377,1.005,0.518,0.572,5.4215
Tanzania,Sub-Saharan Africa,3.623,0.702,57.999,0.833,3.702,0.597,0.425,0.578,3.6625
Thailand,Southeast Asia,5.985,0.888,67.401,0.884,5.891,1.096,0.697,0.617,5.938000000000001
Togo,Sub-Saharan Africa,4.107,0.569,54.914,0.619,4.112,0.322,0.360,0.292,4.109500000000001
Tunisia,Middle East and North Africa,4.596,0.691,67.201,0.656,4.516,0.596,0.656,0.316,4.556
Turkey,Middle East and North Africa,4.948,0.822,67.199,0.576,4.744,0.865,0.702,0.209,4.846
Turkmenistan,Commonwealth of Independent States,5.066,0.983,62.409,0.877,5.474,1.319,0.516,0.649,5.27
Uganda,Sub-Saharan Africa,4.636,0.781,56.101,0.709,4.603,0.875,0.418,0.402,4.6195
Ukraine,Commonwealth of Independent States,4.875,0.888,64.902,0.724,5.084,1.081,0.583,0.473,4.9795
United Arab Emirates,Middle East and North Africa,6.561,0.844,67.333,0.932,6.576,0.980,0.633,0.702,6.5685
United Kingdom,Western Europe,7.064,0.934,72.5,0.859,6.943,1.143,0.750,0.597,7.0035
United States,North America and ANZ,6.951,0.92,68.2,0.837,6.977,1.182,0.628,0.574,6.964
Uruguay,Latin America and Caribbean,6.431,0.925,69.1,0.896,6.474,1.180,0.672,0.665,6.452500000000001
Uzbekistan,Commonwealth of Independent States,6.179,0.918,65.255,0.97,6.063,1.092,0.600,0.716,6.121
Venezuela,Latin America and Caribbean,4.892,0.861,66.7,0.615,4.925,0.968,0.578,0.283,4.9085
Vietnam,Southeast Asia,5.411,0.85,68.034,0.94,5.485,0.932,0.611,0.707,5.448
Yemen,Middle East and North Africa,3.658,0.832,57.122,0.602,4.197,1.043,0.384,0.330,3.9275
Zambia,Sub-Saharan Africa,4.073,0.708,55.809,0.782,3.76,0.577,0.306,0.525,3.9165
Zimbabwe,Sub-Saharan Africa,3.145,0.75,56.201,0.677,2.995,0.690,0.270,0.329,3.0700000000000003
